,,WEEK 1,lab work ITS and 16S,,,,,,,,
,,MON,TUE 8-17-21,,WED 8-18-21,,THUR 8-19-21,,FRI 8-20-21,,
8am,,,BI-531-01 Behavioral Ecology 8:00 - 9:20 am      T. Donaldson,,,,BI-531-01 Behavioral Ecology 8:00 - 9:20 am     T. Donaldson,,Process extracted PCR products. Run PCR for P5-P7 test,,
9am ,,BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,,BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,,Pool Samples and purify (genejet),BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,
,,,,,,,,,,,
,,,,,,,,,,,
10am,,,Intro to metabarcoding lecture; lab pipeline overview,,,,,Run gel; Cut out bands; soak overnight,,,
11am,,,16S and ITs2 analysis pipeline overview,,BI-694,,,,,,
12:45pm,,,PCR prep,,11:00-12:30,,BI-557L-01 Population Ecology Lab 12:45 - 3:40 pm                            P. Houk,,BI-694,,
2pm,,,PCR prep,,BI-507-01 Advanced Statistical Methods Lab    2:10 - 5:00 pm     A. Kerr,Add barcodes to PCR products & check on gel ,,,Bioinformatics,,
2:30pm,,,,,,,,,1:00 – 3:50PM,,
3pm,,,Gel Prep while PCR runs,,,,,,B Bentlage,,
3:20pm,,,Prep Barcodes!,,,,,,,,
3:40pm,,,Load gel ,,,,,,,,
3:55pm,,,Assess Gel and Purify PCR products (genejet),,,,BI-507-01 Advanced Statistical Methods 3:55 - 5:15 pm              A. Kerr,,,,
4:30pm,,,,,,,,,Run p5-p7 test on gel Week 1 wrap-up; Q&A,,
5:15pm,,,,,,,,,,,
10pm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,WEEK 2,data analysis,,,,,,,,
,,MON 8-23-21,TUE 8-24-21,,WED 8-25-21,,THUR 8-26-21,,FRI 8-27-21,,
8am,,,BI-531-01 Behavioral Ecology 8:00 - 9:20 am      T. Donaldson,Introduction to ITS and 16S pipelines (9am start?),,,BI-531-01 Behavioral Ecology 8:00 - 9:20 am     T. Donaldson,,,,
9am ,,BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,,BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,,Diversity plots and PCAs,BI-557-01 Population Ecology 9:05 - 9:55 am          P. Houk,,
,,,,,,,,,,,
,,,,,,,,,,,
10am,,,"Filtering, trimming, rarefication, clustering, plotting abundances",,,,,,,,
11am,,BI-694,,,BI-694,,,,Week 2 wrap-up; Q&A,,
12:45pm,,11:00-12:30,,,11:00-12:30,,BI-557L-01 Population Ecology Lab 12:45 - 3:40 pm                            P. Houk,,BI-694,,
2pm,,,,,BI-507-01 Advanced Statistical Methods Lab    2:10 - 5:00 pm     A. Kerr,,,,Bioinformatics,,
2:30pm,,BI-691-01 Seminar 2:30 - 3:20 pm         A. Fujimura,,,,,,,1:00 – 3:50PM,,
3pm,,,,,,,,,B Bentlage,,
3:20pm,,,,,,,,,,,
3:40pm,,Introduction to ITS and 16S pipelines,,,,,,,,,
3:55pm,,,BI-507-01 Advanced Statistical Methods 3:55 - 5:15 pm                  A. Kerr,,,,BI-507-01 Advanced Statistical Methods 3:55 - 5:15 pm              A. Kerr,,,,
5pm,,,,,,,,,,,
5:15pm,,,,,,,,,,,
,,,,,,,,,,,
